#property	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	domain	default	required	description
-- Disease Type	Healthy Subject	Healthy Subject	Healthy Subject	Healthy Subject	Healthy Subject	Healthy Subject	Healthy Subject	Healthy Subject	Healthy Subject	Healthy Subject	Healthy Subject	Healthy Subject	Healthy Subject	Healthy Subject	Healthy Subject	Healthy Subject	Healthy Subject	Healthy Subject	Healthy Subject	Healthy Subject	Healthy Subject	Healthy Subject	Healthy Subject	Healthy Subject	Healthy Subject	Healthy Subject	Healthy Subject	Healthy Subject	Healthy Subject	Healthy Subject	bioportalTerms((DOID,http://purl.obolibrary.org/obo/DOID_4),(NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7057),(NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94342))		TRUE	"Enter first few characters of disease name. This field is a look-ahead search box that connects to DOID Ontology and retrieves a list of all disease terms. User selects the appropriate ontology concept for the disease from that list. Type ""Healthy Subject"", if sample was taken from a healthy donor."
-- Anatomical Location	Plasma cell	Plasma cell	Plasma cell	Plasma cell	Plasma cell	Plasma cell	Plasma cell	Plasma cell	Plasma cell	Plasma cell	Plasma cell	Plasma cell	Plasma cell	Plasma cell	Plasma cell	Plasma cell	Plasma cell	Plasma cell	Plasma cell	Plasma cell	Plasma cell	Plasma cell	Plasma cell	Plasma cell	Plasma cell	Plasma cell	Plasma cell	Plasma cell	Plasma cell	Plasma cell	bioportalTerms((SNOMEDCT,http://purl.bioontology.org/ontology/SNOMEDCT/91689009),(SNOMEDCT,http://purl.bioontology.org/ontology/SNOMEDCT/272524002),(SNOMEDCT,http://purl.bioontology.org/ontology/SNOMEDCT/410652009),(SNOMEDCT,http://purl.bioontology.org/ontology/SNOMEDCT/398236008))		TRUE	Details about the anatomical location from which the fluid was collected. This field is a look-ahead search box that connects to SNOMEDCT Ontology and retrieves a list of correct ontology terms for all possible anatomical locations.
-- Biological Fluid																															[valueless]			Category -- Biological Fluid
--- Biofluid Name	Serum	Serum	Serum	Serum	Serum	Serum	Serum	Serum	Serum	Serum	Serum	Serum	Serum	Serum	Serum	Serum	Serum	Serum	Serum	Serum	Serum	Serum	Serum	Serum	Serum	Serum	Serum	Serum	Serum	Serum	bioportalTerms((SNOMEDCT,http://purl.bioontology.org/ontology/SNOMEDCT/91720002),(MESH,http://purl.bioontology.org/ontology/MESH/D017077),(SNOMEDCT,http://purl.bioontology.org/ontology/SNOMEDCT/258607008),(NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C52556))		TRUE	Source of body fluid of sample. This field is a look-ahead search box that connects to BioPortal and retrieves a list of correct ontology terms for all possible biological fluids (Example: Serum, Plasma, Saliva, Sweat, Urine, Tears, Bile, Breast Milk, Cerebrospinal fluid).
- Molecular Sample Elements																															[valueless]		TRUE	Category -- Molecular Sample Elements
-- exRNA Source	 total cell-free biofluid RNA	 total cell-free biofluid RNA	 total cell-free biofluid RNA	 total cell-free biofluid RNA	 total cell-free biofluid RNA	 total cell-free biofluid RNA	 total cell-free biofluid RNA	 total cell-free biofluid RNA	 total cell-free biofluid RNA	 total cell-free biofluid RNA	 total cell-free biofluid RNA	 total cell-free biofluid RNA	 total cell-free biofluid RNA	 total cell-free biofluid RNA	 total cell-free biofluid RNA	 total cell-free biofluid RNA	 total cell-free biofluid RNA	 total cell-free biofluid RNA	 total cell-free biofluid RNA	 total cell-free biofluid RNA	 total cell-free biofluid RNA	 total cell-free biofluid RNA	 total cell-free biofluid RNA	 total cell-free biofluid RNA	 total cell-free biofluid RNA	 total cell-free biofluid RNA	 total cell-free biofluid RNA	 total cell-free biofluid RNA	 total cell-free biofluid RNA	 total cell-free biofluid RNA	enum(extracellular exosome, extracellular vesicle, HDL-containing protein-lipid-RNA complex, total cell-free biofluid RNA, ribonucleoprotein complex, protein-lipid-RNA complex, LDL-containing protein-lipid-RNA complex, apoptotic body)		TRUE	Details of exRNA source material
-- Fractionation	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	enum(Yes, No)		TRUE	Fractionated - yes or no? No implies that total exRNA was used.
* Related Experiments	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	numItems		TRUE	Items -- Related Experiment Documents 
*-- DocURL	coll/Experiments/doc/EXR-MTEWA1HealthyControls1-EX	coll/Experiments/doc/EXR-MTEWA1HealthyControls1-EX	coll/Experiments/doc/EXR-MTEWA1HealthyControls1-EX	coll/Experiments/doc/EXR-MTEWA1HealthyControls1-EX	coll/Experiments/doc/EXR-MTEWA1HealthyControls1-EX	coll/Experiments/doc/EXR-MTEWA1HealthyControls1-EX	coll/Experiments/doc/EXR-MTEWA1HealthyControls1-EX	coll/Experiments/doc/EXR-MTEWA1HealthyControls1-EX	coll/Experiments/doc/EXR-MTEWA1HealthyControls1-EX	coll/Experiments/doc/EXR-MTEWA1HealthyControls1-EX	coll/Experiments/doc/EXR-MTEWA1HealthyControls1-EX	coll/Experiments/doc/EXR-MTEWA1HealthyControls1-EX	coll/Experiments/doc/EXR-MTEWA1HealthyControls1-EX	coll/Experiments/doc/EXR-MTEWA1HealthyControls1-EX	coll/Experiments/doc/EXR-MTEWA1HealthyControls1-EX	coll/Experiments/doc/EXR-MTEWA1HealthyControls1-EX	coll/Experiments/doc/EXR-MTEWA1HealthyControls1-EX	coll/Experiments/doc/EXR-MTEWA1HealthyControls1-EX	coll/Experiments/doc/EXR-MTEWA1HealthyControls1-EX	coll/Experiments/doc/EXR-MTEWA1HealthyControls1-EX	coll/Experiments/doc/EXR-MTEWA1HealthyControls1-EX	coll/Experiments/doc/EXR-MTEWA1HealthyControls1-EX	coll/Experiments/doc/EXR-MTEWA1HealthyControls1-EX	coll/Experiments/doc/EXR-MTEWA1HealthyControls1-EX	coll/Experiments/doc/EXR-MTEWA1HealthyControls1-EX	coll/Experiments/doc/EXR-MTEWA1HealthyControls1-EX	coll/Experiments/doc/EXR-MTEWA1HealthyControls1-EX	coll/Experiments/doc/EXR-MTEWA1HealthyControls1-EX	coll/Experiments/doc/EXR-MTEWA1HealthyControls1-EX	coll/Experiments/doc/EXR-MTEWA1HealthyControls1-EX	URL			Relative ID (accession) of doc, provide Document URL
*- Related Experiment	EXR-MTEWA1HealthyControls1-EX	EXR-MTEWA1HealthyControls1-EX	EXR-MTEWA1HealthyControls1-EX	EXR-MTEWA1HealthyControls1-EX	EXR-MTEWA1HealthyControls1-EX	EXR-MTEWA1HealthyControls1-EX	EXR-MTEWA1HealthyControls1-EX	EXR-MTEWA1HealthyControls1-EX	EXR-MTEWA1HealthyControls1-EX	EXR-MTEWA1HealthyControls1-EX	EXR-MTEWA1HealthyControls1-EX	EXR-MTEWA1HealthyControls1-EX	EXR-MTEWA1HealthyControls1-EX	EXR-MTEWA1HealthyControls1-EX	EXR-MTEWA1HealthyControls1-EX	EXR-MTEWA1HealthyControls1-EX	EXR-MTEWA1HealthyControls1-EX	EXR-MTEWA1HealthyControls1-EX	EXR-MTEWA1HealthyControls1-EX	EXR-MTEWA1HealthyControls1-EX	EXR-MTEWA1HealthyControls1-EX	EXR-MTEWA1HealthyControls1-EX	EXR-MTEWA1HealthyControls1-EX	EXR-MTEWA1HealthyControls1-EX	EXR-MTEWA1HealthyControls1-EX	EXR-MTEWA1HealthyControls1-EX	EXR-MTEWA1HealthyControls1-EX	EXR-MTEWA1HealthyControls1-EX	EXR-MTEWA1HealthyControls1-EX	EXR-MTEWA1HealthyControls1-EX	regexp(EXR-[a-zA-Z0-9]{6,}-EX)		TRUE	ID of related experiment document
* Custom Metadata	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	numItems			Custom metadata fiels defined by users
*- Property Name	Participant.ID	Participant.ID	Participant.ID	Participant.ID	Participant.ID	Participant.ID	Participant.ID	Participant.ID	Participant.ID	Participant.ID	Participant.ID	Participant.ID	Participant.ID	Participant.ID	Participant.ID	Participant.ID	Participant.ID	Participant.ID	Participant.ID	Participant.ID	Participant.ID	Participant.ID	Participant.ID	Participant.ID	Participant.ID	Participant.ID	Participant.ID	Participant.ID	Participant.ID	Participant.ID	string		TRUE	Name of the metadata property
*-- Value	70014	70016	70105	70125	70182	70348	70416	70435	70498	71039	71229	71244	71316	71367	71431	71438	71467	71473	71521	71582	71591	71690	71818	71875	71906	72078	72108	72111	72133	72165	string			Value of this additonal metadata property
